Step,Mode,Time,Sx:0.5,Sy:0.5
2,1,0.46,79.23258353,4.232529411
2,1,0.47,79.34713461,4.30151092
2,1,0.48,79.4616857,4.369512429
2,1,0.49,79.57623679,4.436533938
2,1,0.5,79.69078788,4.502575447
2,1,0.51,79.80533897,4.567636956
2,1,0.52,79.91989006,4.631718465
2,1,0.53,80.03444114,4.694819974
2,1,0.54,80.14899223,4.756941483
2,1,0.55,80.26354332,4.818082992
2,1,0.56,80.37809441,4.8782445
2,1,0.57,80.4926455,4.937426009
2,1,0.58,80.60719658,4.995627518
2,1,0.59,80.72174767,5.052849027
2,1,0.6,80.83629876,5.109090536
2,1,0.61,80.95084985,5.164352045
2,1,0.62,81.06540094,5.218633554
2,1,0.63,81.17995203,5.271935063
2,1,0.64,81.29450311,5.324256572
2,1,0.65,81.4090542,5.375598081
2,1,0.66,81.52360529,5.42595959
2,1,0.67,81.63815638,5.475341099
2,1,0.68,81.75270747,5.523742608
2,1,0.69,81.86725855,5.571164117
2,1,0.7,81.98180964,5.617605626
2,1,0.71,82.09636073,5.663067135
2,1,0.72,82.21091182,5.707548643
2,1,0.73,82.32546291,5.751050152
2,1,0.74,82.440014,5.793571661
2,1,0.75,82.55456508,5.83511317
2,1,0.76,82.66911617,5.875674679
2,1,0.77,82.78366726,5.915256188
2,1,0.78,82.89821835,5.953857697
2,1,0.79,83.01276944,5.991479206
2,1,0.8,83.12732052,6.028120715
2,1,0.81,83.24187161,6.063782224
2,1,0.82,83.3564227,6.098463733
2,1,0.83,83.47097379,6.132165242
2,1,0.84,83.58552488,6.164886751
2,1,0.85,83.70007596,6.19662826
2,1,0.86,83.81462705,6.227389769
2,1,0.87,83.92917814,6.257171278
2,1,0.88,84.04372923,6.285972786
2,1,0.89,84.15828032,6.313794295
2,1,0.9,84.27283141,6.340635804
2,1,0.91,84.38738249,6.366497313
2,1,0.92,84.50193358,6.391378822
2,1,0.93,84.61648467,6.415280331
2,1,0.94,84.73103576,6.43820184
2,1,0.95,84.84558685,6.460143349
2,1,0.96,84.96013793,6.481104858
2,1,0.97,85.07468902,6.501086367
2,1,0.98,85.18924011,6.520087876
2,1,0.99,85.3037912,6.538109385
2,1,1,85.41834229,6.555150894
2,1,1.01,85.53289338,6.571212403
2,1,1.02,85.64744446,6.586293912
2,1,1.03,85.76199555,6.600395421
2,1,1.04,85.87654664,6.613516929
2,1,1.05,85.99109773,6.625658438
2,1,1.06,86.10564882,6.636819947
2,1,1.07,86.2201999,6.647001456
2,1,1.08,86.33475099,6.656202965
2,1,1.09,86.44930208,6.664424474
2,1,1.1,86.56385317,6.671665983
2,1,1.11,86.67840426,6.677927492
2,1,1.12,86.79295535,6.683209001
2,1,1.13,86.90750643,6.68751051
2,1,1.14,87.02205752,6.690832019
2,1,1.15,87.13660861,6.693173528
2,1,1.16,87.2511597,6.694535037
2,1,1.17,87.36571079,6.694916546
2,1,1.18,87.48026187,6.694318055
2,1,1.19,87.59481296,6.692739564
2,1,1.2,87.70936405,6.690181072
2,1,1.21,87.82391514,6.686642581
2,1,1.22,87.93846623,6.68212409
2,1,1.23,88.05301732,6.676625599
2,1,1.24,88.1675684,6.670147108
2,1,1.25,88.28211949,6.662688617
2,1,1.26,88.39667058,6.654250126
2,1,1.27,88.51122167,6.644831635
2,1,1.28,88.62577276,6.634433144
2,1,1.29,88.74032384,6.623054653
2,1,1.3,88.85487493,6.610696162
2,1,1.31,88.96942602,6.597357671
2,1,1.32,89.08397711,6.58303918
2,1,1.33,89.1985282,6.567740689
2,1,1.34,89.31307929,6.551462198
2,1,1.35,89.42763037,6.534203707
2,1,1.36,89.54218146,6.515965215
2,1,1.37,89.65673255,6.496746724
2,1,1.38,89.77128364,6.476548233
2,1,1.39,89.88583473,6.455369742
2,1,1.4,90.00038581,6.433211251
2,1,1.41,90.1149369,6.41007276
2,1,1.42,90.22948799,6.385954269
2,1,1.43,90.34403908,6.360855778
